Date,X,Y
15/3/2004,0.605400012,#N/A
19/3/2004,0.468000009,#N/A
20/3/2004,0.674999982,#N/A
21/3/2004,0.75,#N/A
22/3/2004,0.825000018,#N/A
29/4/2004,0.623040006,#N/A
1/5/2004,2.313000084,#N/A
4/5/2004,2.312399982,#N/A
6/5/2004,2.795040072,#N/A
12/6/2004,0.982140006,#N/A
17/6/2004,1.80798,#N/A
15/8/2004,1.378500045,#N/A
17/8/2004,1.837199985,#N/A
22/8/2004,1.45724997,#N/A
15/9/2004,1.583999991,#N/A
19/9/2004,2.417999982,0.45
21/9/2004,2.631900072,0.45
23/9/2004,#N/A,0.45
26/9/2004,#N/A,0.7
28/9/2004,#N/A,0.75
30/9/2004,#N/A,0.2
4/10/2004,#N/A,0.2
5/10/2004,0.602519988,#N/A
7/10/2004,#N/A,0.5
10/10/2004,#N/A,0.75
11/10/2004,#N/A,0.75
13/10/2004,#N/A,0.75
20/10/2004,#N/A,0.3
24/10/2004,#N/A,0.3
28/10/2004,#N/A,0.3
3/11/2004,#N/A,0.2
7/11/2004,#N/A,0.25
9/11/2004,#N/A,0.35
11/11/2004,#N/A,0.5
16/11/2004,#N/A,0.6
18/11/2004,#N/A,0.6
21/11/2004,#N/A,0.55
22/11/2004,#N/A,0.45
24/11/2004,#N/A,0.5
28/11/2004,#N/A,0.5
30/11/2004,#N/A,0.45
3/12/2004,#N/A,0.5
5/12/2004,#N/A,0.4
7/12/2004,#N/A,0.4
9/12/2004,#N/A,0.5
13/12/2004,#N/A,0.5
14/12/2004,#N/A,0.2
16/12/2004,#N/A,0.2
19/12/2004,#N/A,0.3
21/12/2004,#N/A,0.25
23/12/2004,#N/A,0.25
27/12/2004,#N/A,0.45
30/12/2004,#N/A,0.45
4/1/2005,#N/A,0.5
5/1/2005,#N/A,0.5
25/1/2005,#N/A,0.2
26/1/2005,#N/A,0.2
28/1/2005,#N/A,0.2
31/1/2005,#N/A,0.25
2/2/2005,#N/A,0.1
3/2/2005,#N/A,0.1
6/2/2005,#N/A,0.1
8/2/2005,#N/A,0.1
11/2/2005,#N/A,0.1
27/2/2005,#N/A,0.1
1/3/2005,#N/A,0.1
3/3/2005,#N/A,0.1
6/3/2005,#N/A,0.1
8/3/2005,#N/A,0.4
10/3/2005,#N/A,0.25
13/3/2005,#N/A,0.1
15/3/2005,#N/A,0.1
19/3/2005,#N/A,0.1
20/3/2005,#N/A,0.2
22/3/2005,#N/A,0.2
23/3/2005,#N/A,0.2
27/3/2005,#N/A,0.15
28/3/2005,#N/A,0.15
31/3/2005,0.735000015,0.3
3/4/2005,#N/A,0.3
5/4/2005,2.780999958,0.3
7/4/2005,#N/A,0.3
11/4/2005,#N/A,0.3
12/4/2005,2.30100006,0.3
14/4/2005,2.514,#N/A
19/4/2005,#N/A,0.1
25/4/2005,#N/A,0.1
26/4/2005,#N/A,0.2
27/4/2005,#N/A,0.1
3/5/2005,#N/A,0.2
5/5/2005,#N/A,0.2
12/5/2005,#N/A,0.2
15/5/2005,#N/A,0.2
24/5/2005,#N/A,0.2
29/5/2005,#N/A,0.4
